source,feature,anchor_scope,rows,missing,missing_fraction,all_missing,threshold_5pct_pass,classification,rationale
base,momentum_1,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,momentum_5,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,momentum_20,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,momentum_60,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,volatility_20_ann,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,volatility_60_ann,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,volume_median_20_log1p,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,volume_median_60_log1p,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,dollar_volume_median_20_log1p,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,dollar_volume_median_60_log1p,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spread_median_20_bps,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spread_median_60_bps,training,2334,2,0.000856898029134533,False,True,baseline_control,configured controls-only baseline field
base,beta_126,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,idio_vol_126_ann,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,beta_obs_126,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_momentum_1,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_momentum_5,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_momentum_20,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_momentum_60,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_volatility_20_ann,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
base,spy_volatility_60_ann,training,2334,0,0.0,False,True,baseline_control,configured controls-only baseline field
macro,vix_level,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,vix_change_1d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,vix_change_5d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,vix_change_20d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,vix_percentile_252d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs3mo_level,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs3mo_change_5d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs3mo_change_20d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs2_level,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs2_change_5d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs2_change_20d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs10_level,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs10_change_5d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,dgs10_change_20d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,high_yield_oas_level,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,high_yield_oas_change_5d,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,high_yield_oas_change_20d,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,investment_grade_oas_level,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,investment_grade_oas_change_5d,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,investment_grade_oas_change_20d,training,2334,2334,1.0,True,False,exclude_all_missing,credit-spread source begins after the development window
macro,broad_dollar_level,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,broad_dollar_change_5d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,broad_dollar_change_20d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,broad_dollar_change_60d,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,term_spread_10y_2y,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
macro,term_spread_10y_3m,training,2334,0,0.0,False,True,safe_candidate,strictly lagged macro feature with usable anchor coverage
ai,etf_soxx_momentum_5,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_soxx_momentum_20,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_soxx_momentum_60,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_soxx_volatility_20_ann,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_soxx_volatility_60_ann,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_soxx_max_drawdown_60,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_momentum_5,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_momentum_20,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_momentum_60,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_volatility_20_ann,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_volatility_60_ann,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_xlk_max_drawdown_60,training,2334,0,0.0,False,True,safe_candidate,strictly prior-session AI industry state with usable anchor coverage
ai,etf_aiq_momentum_5,training,2334,1252,0.5364181662382177,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_aiq_momentum_20,training,2334,1281,0.5488431876606684,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_aiq_momentum_60,training,2334,1348,0.5775492716366752,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_aiq_volatility_20_ann,training,2334,1281,0.5488431876606684,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_aiq_volatility_60_ann,training,2334,1348,0.5775492716366752,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_aiq_max_drawdown_60,training,2334,1348,0.5775492716366752,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_momentum_5,training,2334,601,0.2574978577549272,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_momentum_20,training,2334,684,0.2930591259640103,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_momentum_60,training,2334,745,0.31919451585261355,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_volatility_20_ann,training,2334,684,0.2930591259640103,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_volatility_60_ann,training,2334,745,0.31919451585261355,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_botz_max_drawdown_60,training,2334,745,0.31919451585261355,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_igv_momentum_5,training,2334,941,0.4031705227077978,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_igv_momentum_20,training,2334,948,0.40616966580976865,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
ai,etf_igv_momentum_60,training,2334,1015,0.4348757497857755,False,False,exclude_high_missing,ETF history/inception coverage exceeds 5% anchor missingness
