check_id,category,status,blocking,rows_checked,failures,details
base_model_features_sample_id_unique,key_uniqueness,PASS,True,110829,0,duplicate_rows=0; key=['sample_id']
base_model_features_security_date_unique,key_uniqueness,PASS,True,110829,0,"duplicate_rows=0; key=['security_id', 'formation_session']"
base_metadata_sample_id_unique,key_uniqueness,PASS,True,110829,0,duplicate_rows=0; key=['sample_id']
base_metadata_security_date_unique,key_uniqueness,PASS,True,110829,0,"duplicate_rows=0; key=['security_id', 'formation_session']"
base_eligibility_sample_id_unique,key_uniqueness,PASS,True,110829,0,duplicate_rows=0; key=['sample_id']
macro_session_unique,key_uniqueness,PASS,True,3228,0,duplicate_rows=0; key=['spy_session']
macro_train_valid_session_unique,key_uniqueness,PASS,True,2014,0,duplicate_rows=0; key=['spy_session']
ai_state_session_unique,key_uniqueness,PASS,True,2889,0,duplicate_rows=0; key=['formation_session']
ai_pool_coverage_key_unique,key_uniqueness,PASS,True,110829,0,"duplicate_rows=0; key=['formation_session', 'Instrument']"
ai_etf_coverage_key_unique,key_uniqueness,PASS,True,14445,0,"duplicate_rows=0; key=['formation_session', 'Instrument']"
master_sample_id_sets_match,key_uniqueness,PASS,True,110829,0,"symmetric_difference_sum=0; source tables=model_features,metadata,eligibility"
literal_security_identifier_consistency,key_uniqueness,PASS,True,221658,0,security_id_vs_Instrument_mismatches=0; no name-based mapping applied
metadata_reference_strict_prior_spy_session,date_alignment,PASS,True,110829,0,reference_mismatches=0; no_reference_rows=0; strict prior rule
macro_reference_strict_prior_spy_session,date_alignment,PASS,True,3228,0,reference_mismatches=0; no_reference_rows=1; strict prior rule
ai_state_reference_strict_prior_spy_session,date_alignment,PASS,True,2889,0,reference_mismatches=0; no_reference_rows=0; strict prior rule
pool_coverage_reference_strict_prior_spy_session,date_alignment,PASS,True,110829,0,reference_mismatches=0; no_reference_rows=0; strict prior rule
etf_coverage_reference_strict_prior_spy_session,date_alignment,PASS,True,14445,0,reference_mismatches=0; no_reference_rows=0; strict prior rule
ai_reference_lag_sessions_equal_one,date_alignment,PASS,True,2889,0,reference_lag_sessions must equal 1
macro_source_observations_not_after_reference,date_alignment,PASS,True,45192,0,"future_source_date_counts={'VIXCLS_source_observation_date': 0, 'VIXCLS_value_observation_date': 0, 'DGS3MO_source_observation_date': 0, 'DGS3MO_value_observation_date': 0, 'DGS2_source_observation_date': 0, 'DGS2_value_observation_date': 0, 'DGS10_source_observation_date': 0, 'DGS10_value_observation_date': 0, 'BAMLH0A0HYM2_source_observation_date': 0, 'BAMLH0A0HYM2_value_observation_date': 0, 'BAMLC0A0CM_source_observation_date': 0, 'BAMLC0A0CM_value_observation_date': 0, 'DTWEXBGS_source_observation_date': 0, 'DTWEXBGS_value_observation_date': 0}; source/value observation dates <= reference when present"
formation_date_has_single_split,split_separation,PASS,True,5778,0,ambiguous_model_or_ai_dates=0
model_and_ai_split_windows,split_separation,PASS,True,113718,0,model_training_bad=0; ai_training_bad=0; model_validation_bad=0; ai_validation_bad=0; model_test_bad=0; ai_test_bad=0
macro_train_validation_date_set_matches_development,split_separation,PASS,True,4028,0,symmetric_difference=0; macro_train_valid_test_overlap=0
macro_train_validation_excludes_test_dates,split_separation,PASS,True,2014,0,train/validation macro subset contains no model test formation date
full_macro_and_ai_cover_model_formation_dates,split_separation,PASS,True,5778,0,macro_missing_dates=0; ai_date_set_difference=0
configured_feature_columns_present,feature_schema,PASS,True,90,0,missing_columns=[]
