source,feature,numeric_feature,recommended_incremental,anchor_missing_fraction_all,classification,rationale,exact_base_overlap,formula_or_derived_relationship
base,momentum_1,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,momentum_5,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,momentum_20,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,momentum_60,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,volatility_20_ann,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,volatility_60_ann,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,volume_median_20_log1p,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,volume_median_60_log1p,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,dollar_volume_median_20_log1p,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,dollar_volume_median_60_log1p,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,spread_median_20_bps,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,spread_median_60_bps,True,True,0.0006013229104028864,baseline_control,configured controls-only baseline field,False,False
base,beta_126,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,idio_vol_126_ann,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,beta_obs_126,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,spy_momentum_1,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,spy_momentum_5,True,True,0.0,baseline_control,configured controls-only baseline field,True,False
base,spy_momentum_20,True,True,0.0,baseline_control,configured controls-only baseline field,True,False
base,spy_momentum_60,True,True,0.0,baseline_control,configured controls-only baseline field,True,False
base,spy_volatility_20_ann,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
base,spy_volatility_60_ann,True,True,0.0,baseline_control,configured controls-only baseline field,False,False
macro,vix_level,True,True,0.0,safe_candidate,strictly lagged macro feature with usable anchor coverage,False,False
macro,vix_change_1d,True,True,0.0,safe_candidate,strictly lagged macro feature with usable anchor coverage,False,False
