"Instrument","canonical_name","primary_group","pit_evidence_status","pit_eligible_now","source_url","candidate_source","taxonomy_version","source_registry"
"NVDA.OQ","NVIDIA Corporation","gpu_accelerator","direct_local_pit","True","https://www.nvidia.com/en-us/about-nvidia/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"AMD.OQ","Advanced Micro Devices, Inc.","gpu_accelerator","provisional_static_source","False","https://www.amd.com/en/corporate.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"AVGO.OQ","Broadcom Inc.","gpu_accelerator","provisional_static_source","False","https://investors.broadcom.com/overview/default.aspx","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"INTC.OQ","Intel Corporation","gpu_accelerator","direct_local_pit","True","https://www.intel.com/content/www/us/en/company-overview/company-overview.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"MRVL.OQ","Marvell Technology, Inc.","gpu_accelerator","provisional_static_source","False","https://www.marvell.com/company.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"QCOM.OQ","QUALCOMM Incorporated","ai_semiconductor","provisional_static_source","False","https://www.qualcomm.com/company","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"TXN.OQ","Texas Instruments Incorporated","ai_semiconductor","provisional_static_source","False","https://www.ti.com/about-ti/company-profile.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ADI.OQ","Analog Devices, Inc.","ai_semiconductor","provisional_static_source","False","https://www.analog.com/en/about-adi.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"NXPI.OQ","NXP Semiconductors N.V.","ai_semiconductor","provisional_static_source","False","https://www.nxp.com/company/about-nxp","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ON.OQ","onsemi","ai_semiconductor","provisional_static_source","False","https://www.onsemi.com/company/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"MPWR.OQ","Monolithic Power Systems, Inc.","ai_semiconductor","provisional_static_source","False","https://www.monolithicpower.com/en/about-mps","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"MU.OQ","Micron Technology, Inc.","memory_hbm_storage","direct_local_pit","True","https://www.micron.com/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"WDC.OQ","Western Digital Corporation","memory_hbm_storage","provisional_static_source","False","https://www.westerndigital.com/company","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"STX.OQ","Seagate Technology Holdings plc","memory_hbm_storage","provisional_static_source","False","https://www.seagate.com/company/about-us/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"SNDK.OQ","SanDisk Corporation","memory_hbm_storage","provisional_static_source","False","https://www.sandisk.com/company/about","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"NTAP.OQ","NetApp, Inc.","memory_hbm_storage","provisional_static_source","False","https://www.netapp.com/company/","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"HPE.N","Hewlett Packard Enterprise Company","server_network","direct_local_pit","True","https://www.hpe.com/us/en/about.html","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"DELL.N","Dell Technologies Inc.","server_network","provisional_static_source","False","https://www.dell.com/en-us/dt/corporate/about-us.htm","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
"ANET.N","Arista Networks, Inc.","server_network","provisional_static_source","False","https://www.arista.com/en/company/about-us","ai_pool_expansion_v1","AI_SUPPLY_CHAIN_TAXONOMY_v2.0","candidate_registry.csv"
