ric,universe_name,delisted_ric,member_from,member_to,screen_status,primary_group,reason_code
A.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AA.N,Alcoa Corp,False,2016-11-01,2016-11-01,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AABA.OQ^J19,Altaba,True,2015-01-01,2017-06-18,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AAL.OQ,American Airline,False,2015-03-23,2024-09-22,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AAP.N,Advance Auto,False,2015-07-09,2023-08-24,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AAPL.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ABBV.N,AbbVie,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ABMD.OQ^L22,Abiomed,True,2018-05-31,2022-12-21,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ABNB.OQ,Airbnb,False,2023-09-18,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ABT.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ACGL.OQ,Arch Capital Grp,False,2022-11-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ACN.N,Accenture,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADBE.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADI.OQ,,False,2015-01-01,2026-09-07,selected_design_candidate,ai_semiconductor,SUPPLY_CHAIN_ROLE_SELECTED_NO_RETURN_SCREEN
ADM.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADNT.N,Adient,False,2016-10-31,2016-10-31,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADP.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADSK.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ADT.N^E16,ADT Security,True,2015-01-01,2016-05-02,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AEE.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AEP.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AES.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AET.N^K18,Aetna,True,2015-01-01,2018-12-02,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AFL.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AGN.N^C15,Allerg,True,2015-01-01,2015-03-22,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AGN.N^E20,Allergan,True,2015-01-01,2020-05-11,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AIG.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AIRC.N^F24,Apartment Income,True,2020-12-15,2020-12-20,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AIV.N,Aimco,False,2015-01-01,2020-12-20,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AIZ.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AJG.N,Arthur J. Gallag,False,2016-05-31,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
AKAM.OQ,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ALB.N,Albemarle,False,2016-07-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ALGN.OQ,Align Technology,False,2017-06-19,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ALK.N,Alaska Air Group,False,2016-05-13,2023-12-17,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ALL.N,,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
ALLE.N,Allegion,False,2015-01-01,2026-09-07,not_selected_design_candidate,,OUTSIDE_FROZEN_49_NAME_DESIGN_SET
