ric,canonical_name,primary_group,evidence_group,matched_terms,segment_name,period_end,orig_announcement_dates,pit_date_available,raw_file,raw_row,raw_text,reason_code
AMT.N,American Tower Corporation,data_center_power_cooling,memory_hbm_storage,data center,Data Centeres,2021-12-31,2022-02-24,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1084,"AMT.N,517810, 237130,Data Centeres,FY2021,2021-12-31,23200000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,server_network,data center,Data Centeres,2021-12-31,2022-02-24,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1084,"AMT.N,517810, 237130,Data Centeres,FY2021,2021-12-31,23200000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,memory_hbm_storage,data center,Data Centeres,2022-12-31,2023-02-23,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1092,"AMT.N,517810, 237130,Data Centeres,FY2022,2022-12-31,766600000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,server_network,data center,Data Centeres,2022-12-31,2023-02-23,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1092,"AMT.N,517810, 237130,Data Centeres,FY2022,2022-12-31,766600000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,memory_hbm_storage,data center,Data Centeres,2023-12-31,2024-02-27,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1100,"AMT.N,517810, 237130,Data Centeres,FY2023,2023-12-31,834700000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,server_network,data center,Data Centeres,2023-12-31,2024-02-27,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1100,"AMT.N,517810, 237130,Data Centeres,FY2023,2023-12-31,834700000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,memory_hbm_storage,data center,Data Centeres,2024-12-31,2025-02-25,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1106,"AMT.N,517810, 237130,Data Centeres,FY2024,2024-12-31,924800000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,server_network,data center,Data Centeres,2024-12-31,2025-02-25,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1106,"AMT.N,517810, 237130,Data Centeres,FY2024,2024-12-31,924800000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,memory_hbm_storage,data center,Data Centeres,2025-12-31,2026-02-24,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1113,"AMT.N,517810, 237130,Data Centeres,FY2025,2025-12-31,1053100000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
AMT.N,American Tower Corporation,data_center_power_cooling,server_network,data center,Data Centeres,2025-12-31,2026-02-24,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_001.csv,1113,"AMT.N,517810, 237130,Data Centeres,FY2025,2025-12-31,1053100000.0",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2019-12-31,2020-02-12,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,84,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2019,2019-12-31,5562609000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2019-12-31,2020-02-12,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,84,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2019,2019-12-31,5562609000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2020-12-31,2021-02-10,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,85,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2020,2020-12-31,5998545000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,server_network,data center,"the design, build-out and operation of IBX data centers",2020-12-31,2021-02-10,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,85,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2020,2020-12-31,5998545000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
EQIX.OQ,"Equinix, Inc.",data_center_power_cooling,memory_hbm_storage,data center,"the design, build-out and operation of IBX data centers",2021-12-31,2022-02-16,True,data/raw/ai_factor_v1/20260909T183801359195Z/segments_fy0_010.csv,86,"EQIX.OQ,519290, 541512, 518210,the design, build-out and operation of IBX data centers,FY2021,2021-12-31,6635537000",LOCAL_LSEG_ORIG_SEGMENT_KEYWORD_MATCH
