Instrument,p_up,beta,group,eligible,reason_codes,rank,formation_session
AMD.OQ,0.6896346276141269,1.323394016786504,gpu_accelerator,True,OK,1.0,2021-01-04
NVDA.OQ,0.6888758277255664,1.6556753934769046,gpu_accelerator,True,OK,2.0,2021-01-04
TSLA.OQ,0.6802215987245803,2.213660205949558,robotics_autonomy,True,OK,3.0,2021-01-04
TER.OQ,0.6689508057364527,1.35986374695669,robotics_autonomy,True,OK,4.0,2021-01-04
ORCL.N,0.6603782964001524,0.6737147299328022,cloud_software,True,OK,5.0,2021-01-04
CSCO.OQ,0.6532346913752372,0.9266293931933096,server_network,True,OK,6.0,2021-01-04
GOOG.OQ,0.6528608283152647,1.2881923282625949,cloud_software,True,OK,7.0,2021-01-04
NTAP.OQ,0.6522411647126519,1.2114218554179947,memory_hbm_storage,True,OK,8.0,2021-01-04
CARR.N,0.6500188388162748,1.1909724255248944,data_center_power_cooling,True,OK,9.0,2021-01-04
APTV.N,0.6494867163944533,1.0885816498258314,robotics_autonomy,True,OK,10.0,2021-01-04
AMZN.OQ,0.6494489732786421,1.409820067456104,cloud_software,True,OK,11.0,2021-01-04
MSFT.OQ,0.6465491570595707,1.414748305996513,cloud_software,True,OK,12.0,2021-01-04
ANET.N,0.6371469402562349,1.0440203967367223,server_network,True,OK,13.0,2021-01-04
AVGO.OQ,0.6346443878138996,1.177463789623007,gpu_accelerator,True,OK,14.0,2021-01-04
DELL.N,0.6279769955361071,0.9784648013280028,server_network,True,OK,15.0,2021-01-04
JCI.N,0.6156942758262234,0.7666743650477222,data_center_power_cooling,True,OK,16.0,2021-01-04
STX.OQ,0.6130630928022653,0.7110068809897997,memory_hbm_storage,True,OK,17.0,2021-01-04
HON.OQ,0.6114266763695817,1.070497176725914,robotics_autonomy,True,OK,18.0,2021-01-04
META.OQ,0.6093449827669076,1.4179696598774107,cloud_software,True,OK,19.0,2021-01-04
HPE.N,0.6027354544903798,1.257559419861771,server_network,True,OK,20.0,2021-01-04
JNPR.N^G25,0.6026003578678283,1.0576809255177126,server_network,True,OK,21.0,2021-01-04
TT.N,0.6004067467522767,0.801703748471269,data_center_power_cooling,True,OK,22.0,2021-01-04
NOW.N,0.5984195696488217,1.0969358911842604,cloud_software,True,OK,23.0,2021-01-04
ADI.OQ,0.594277993496515,1.1558047905525253,ai_semiconductor,True,OK,24.0,2021-01-04
