Instrument,sample_id,reference_session,p_up,beta,primary_group,active_membership,model_row_available,price_gate_pass,price_history_gate_pass,quote_history_gate_pass,liquidity_gate_pass,spread_gate_pass,risk_gate_pass,model_gate_pass,execution_close_pass,execution_quote_pass,source_entry_trade_eligible,pretrade_eligible,pretrade_reason_codes,execution_reason_codes,rank,formation_session
NVDA.OQ,49d9719191bf5d2409d095c8,2020-12-31,0.6888758277255664,1.6556753934769046,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,2.0,2021-01-04
AMD.OQ,f40ae5caf5733ed3c9912def,2020-12-31,0.6896346276141269,1.323394016786504,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,1.0,2021-01-04
AVGO.OQ,a9e18e917ef4fccb78fab936,2020-12-31,0.6346443878138996,1.177463789623007,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,14.0,2021-01-04
INTC.OQ,498c6dfde0757ce4945ad728,2020-12-31,0.5241872327408477,0.9724044600368422,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,38.0,2021-01-04
MRVL.OQ,,,,,gpu_accelerator,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
QCOM.OQ,017d6c1cda18e5ea5908064a,2020-12-31,0.5828574395365204,1.4162833477419028,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,30.0,2021-01-04
TXN.OQ,0b52c4d5d69374431ea6a90e,2020-12-31,0.5939394412114909,1.134114028327121,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,26.0,2021-01-04
ADI.OQ,d1f1c81a9418728c988bd946,2020-12-31,0.594277993496515,1.1558047905525253,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,24.0,2021-01-04
NXPI.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
ON.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
MPWR.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
MU.OQ,453413964e24377e93787ec0,2020-12-31,0.5822884918527662,1.0609812894735122,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,31.0,2021-01-04
WDC.OQ,34eae7b07819fd54ea0db179,2020-12-31,0.3354569766638878,0.8877091727041136,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,40.0,2021-01-04
STX.OQ,b5bea95abea3586e7559c3cd,2020-12-31,0.6130630928022653,0.7110068809897997,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,17.0,2021-01-04
SNDK.OQ,,,,,memory_hbm_storage,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
NTAP.OQ,7ffb20d8cc18e2d956ac9864,2020-12-31,0.6522411647126519,1.2114218554179947,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,8.0,2021-01-04
HPE.N,479f3257d2cbb9f2724443e8,2020-12-31,0.6027354544903798,1.257559419861771,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,20.0,2021-01-04
DELL.N,ec428e6d0a064df283e69ecf,2020-12-31,0.6279769955361071,0.9784648013280028,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,15.0,2021-01-04
ANET.N,4b0f65a20a51e5ee55ee776a,2020-12-31,0.6371469402562349,1.0440203967367223,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,13.0,2021-01-04
CSCO.OQ,3d25bf5d387c22adcb4f9a22,2020-12-31,0.6532346913752372,0.9266293931933096,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,6.0,2021-01-04
JNPR.N^G25,cb96875e74c0a4a1653e1c02,2020-12-31,0.6026003578678283,1.0576809255177126,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,21.0,2021-01-04
CIEN.N,,,,,server_network,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
MSFT.OQ,34f95fd248aef5301e65e9b4,2020-12-31,0.6465491570595707,1.414748305996513,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,12.0,2021-01-04
AMZN.OQ,e70fa53460525ee5c055f86b,2020-12-31,0.6494489732786421,1.409820067456104,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,11.0,2021-01-04
GOOG.OQ,999279131bf41a6b6cc24aec,2020-12-31,0.6528608283152647,1.2881923282625949,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,7.0,2021-01-04
META.OQ,f8e1a1d42e5f3676b0929286,2020-12-31,0.6093449827669076,1.4179696598774107,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,19.0,2021-01-04
ORCL.N,45ca2ee8a3b8c8237bdec888,2020-12-31,0.6603782964001524,0.6737147299328022,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,5.0,2021-01-04
IBM.N,a7ce218fe44710c754cfd8cc,2020-12-31,0.5596543266220473,0.8186605909045377,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,34.0,2021-01-04
NOW.N,52bfa0b7d65207a6ef2b92aa,2020-12-31,0.5984195696488217,1.0969358911842604,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,23.0,2021-01-04
PLTR.OQ,,,,,cloud_software,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
SNPS.OQ,1f7a68f753264f013a193c7c,2020-12-31,0.5715493493164792,1.2011559328015655,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,32.0,2021-01-04
CDNS.OQ,4b0f9e066f2813d6591bd4a9,2020-12-31,0.5639487139996604,1.2258322375066102,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,33.0,2021-01-04
EQIX.OQ,b5ad8a1d774bcf036f3ed4e2,2020-12-31,0.46275095213963713,0.7073325559904124,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,39.0,2021-01-04
DLR.N,66f4ecd75c6b4940622ed223,2020-12-31,0.5397331945561415,0.5165723304109322,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,36.0,2021-01-04
AMT.N,4c9686e857a693a2d30e2587,2020-12-31,0.5388468345106866,0.7156109924089891,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,37.0,2021-01-04
IRM.N,a246d8e5b5e6e0da49de5fe1,2020-12-31,0.5838125344500518,0.5718708872111148,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,29.0,2021-01-04
VRT.N,,,,,data_center_power_cooling,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
ETN.N,c4fd7692b1d455c213a3d7cf,2020-12-31,0.585367516456777,0.8843348580108243,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,28.0,2021-01-04
TT.N,bd96daee7c79696edb925ef3,2020-12-31,0.6004067467522767,0.801703748471269,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,22.0,2021-01-04
JCI.N,6426e45df1b3bfbe54b43d8b,2020-12-31,0.6156942758262234,0.7666743650477222,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,16.0,2021-01-04
CARR.N,cb7c01283f5b107fde81ea90,2020-12-31,0.6500188388162748,1.1909724255248944,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,9.0,2021-01-04
TSLA.OQ,7751afe24261325a0f394986,2020-12-31,0.6802215987245803,2.213660205949558,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,3.0,2021-01-04
TER.OQ,359f0306a8ec0c66ad9ddae0,2020-12-31,0.6689508057364527,1.35986374695669,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,4.0,2021-01-04
ROK.N,ed9fb20f390c546358c72c8c,2020-12-31,0.5578657188310917,0.7850744845343535,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,35.0,2021-01-04
HON.OQ,147644d34d7a965f4e59f603,2020-12-31,0.6114266763695817,1.070497176725914,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,18.0,2021-01-04
ISRG.OQ,1b18d9dcea78df418e2456b6,2020-12-31,0.59415463911812,1.318092556295469,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,25.0,2021-01-04
ZBRA.OQ,68d34baedf97e46397c590ba,2020-12-31,0.5895051760471959,1.3337902307884106,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,27.0,2021-01-04
TRMB.OQ,,,,,robotics_autonomy,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-01-04
APTV.N,23cfee5487eb94a5af033295,2020-12-31,0.6494867163944533,1.0885816498258314,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,10.0,2021-01-04
NVDA.OQ,cee4015db0728bbb90250df5,2021-02-02,0.401423461157514,1.590252201788205,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,19.0,2021-02-03
AMD.OQ,249c3a8ffd747350e4d32ec9,2021-02-02,0.4686056117813165,1.3293230432016367,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,4.0,2021-02-03
AVGO.OQ,63f531dec5cf879ea799f226,2021-02-02,0.38975649640483445,1.232101191101728,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,21.0,2021-02-03
INTC.OQ,4f7497d265b149c3d48fd2ed,2021-02-02,0.32824993785717527,0.9698308443701428,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,35.0,2021-02-03
MRVL.OQ,,,,,gpu_accelerator,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
QCOM.OQ,2c52fe2e251db28173610674,2021-02-02,0.3524585642359482,1.503633131466927,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,31.0,2021-02-03
TXN.OQ,3c2b80a3e918e57fc6d233b4,2021-02-02,0.3767760250529731,1.1916350884779945,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,23.0,2021-02-03
ADI.OQ,dd47aae16dca891a797a5795,2021-02-02,0.4171002300699925,1.1713730227852948,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,14.0,2021-02-03
NXPI.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
ON.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
MPWR.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
MU.OQ,3c0b37cc37d51a7958d90219,2021-02-02,0.43432607633458997,1.070322191404183,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,9.0,2021-02-03
WDC.OQ,38a98c95631750bd35495f92,2021-02-02,0.34438672889646094,0.6869531870866693,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,32.0,2021-02-03
STX.OQ,54d19d7e4e61e7ff50030bcc,2021-02-02,0.36730675843077326,0.492676295711778,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,27.0,2021-02-03
SNDK.OQ,,,,,memory_hbm_storage,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
NTAP.OQ,7fdd0b39c25c797af87aa007,2021-02-02,0.5137031601325377,0.928288691268814,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,3.0,2021-02-03
HPE.N,1f99827a8055595e179a58ca,2021-02-02,0.4477103307108631,0.91915052788415,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,7.0,2021-02-03
DELL.N,811282d705303ac9105c0237,2021-02-02,0.32760065055005105,1.0257418539757126,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,36.0,2021-02-03
ANET.N,e43ab7b0fe99a10788ce0d4a,2021-02-02,0.46196201716900814,0.9621842409256538,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,5.0,2021-02-03
CSCO.OQ,14556343843486a262528766,2021-02-02,0.45737868605626925,0.8307416537367887,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,6.0,2021-02-03
JNPR.N^G25,ea68b42c98d51cfa4b98d487,2021-02-02,0.5175572796070184,0.8448215078408091,server_network,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,2.0,2021-02-03
CIEN.N,,,,,server_network,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
MSFT.OQ,435d502d8c3d0af02354214f,2021-02-02,0.41765219500957274,1.3219881145855703,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,13.0,2021-02-03
AMZN.OQ,e3c8c6182ccc4367149b307b,2021-02-02,0.4111497224380065,1.356440550491747,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,16.0,2021-02-03
GOOG.OQ,41374168745c1c33c1297286,2021-02-02,0.40788171102283244,1.3743650896880963,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,18.0,2021-02-03
META.OQ,34b041fb3d5908364a6deeda,2021-02-02,0.4363688658218082,1.3782456259126667,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,8.0,2021-02-03
ORCL.N,67943f7061aa78696e2f978b,2021-02-02,0.4141087055937487,0.6349041050796014,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,15.0,2021-02-03
IBM.N,7aa5dc2d9ca648e745fbc230,2021-02-02,0.4245155556732595,0.7179984753852764,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,10.0,2021-02-03
NOW.N,44d6a247130b15502974e57e,2021-02-02,0.24187248326526448,1.117866412957573,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,41.0,2021-02-03
PLTR.OQ,,,,,cloud_software,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
SNPS.OQ,560730d0f4eed8d3038b234e,2021-02-02,0.3250414183653505,1.287246622988682,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,37.0,2021-02-03
CDNS.OQ,463fa4664f4569201a533e53,2021-02-02,0.3727340096936965,1.2837266579179518,cloud_software,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,24.0,2021-02-03
EQIX.OQ,ab4e1b78d5c7f212f90ab377,2021-02-02,0.2609295086127963,0.7011087718816229,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,40.0,2021-02-03
DLR.N,178bdb832e310f6cf4c36e41,2021-02-02,0.32457125290106725,0.4627109950268064,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,38.0,2021-02-03
AMT.N,dc7448de7a656c91fa42ac40,2021-02-02,0.3551309985929171,0.7419430795318983,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,30.0,2021-02-03
IRM.N,ad156dd3d6772c332b174225,2021-02-02,0.4106660876203603,0.2078559369067071,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,17.0,2021-02-03
VRT.N,,,,,data_center_power_cooling,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-02-03
ETN.N,f9b022ec2c10240fa6d677ba,2021-02-02,0.4227407934483829,0.9027872737474572,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,11.0,2021-02-03
TT.N,caf7e90d5de088d37ac8b76d,2021-02-02,0.38236063784356344,0.7607101753569492,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,22.0,2021-02-03
JCI.N,9b8e61b6c2fce24071e5179a,2021-02-02,0.4182019728994765,0.74664786999234,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,12.0,2021-02-03
CARR.N,87c679eecbdfea67aa64a197,2021-02-02,0.366646094795885,1.0551533362912615,data_center_power_cooling,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,28.0,2021-02-03
TSLA.OQ,fade71b97a3b4c610e1dc706,2021-02-02,0.5308539872400132,2.008740742378876,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,1.0,2021-02-03
TER.OQ,853e04aca7d098fc330da825,2021-02-02,0.39703212176864383,1.3727828836804226,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,20.0,2021-02-03
ROK.N,96ea8a1ccf4cf37f199bbac5,2021-02-02,0.29085252726195504,0.8125136286298831,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,39.0,2021-02-03
HON.OQ,ff1da1930d4a57513d868d6b,2021-02-02,0.36846038569631623,1.0310365942731208,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,26.0,2021-02-03
ISRG.OQ,3aa4e380a529ac602f3a7d33,2021-02-02,0.36259110955320034,1.2759083207035176,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,29.0,2021-02-03
ZBRA.OQ,9832f378d7ccefc93ffd4070,2021-02-02,0.33861116775491323,1.238570474578769,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,34.0,2021-02-03
TRMB.OQ,ab8b1325c48e8ab9a60bf20c,2021-02-02,0.3427553887377845,1.3824026377178775,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,33.0,2021-02-03
APTV.N,bded80c234fd5f18014f49ca,2021-02-02,0.37167918550937223,1.1822586667022452,robotics_autonomy,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,25.0,2021-02-03
NVDA.OQ,74bcfab84dfc30a1701847c0,2021-03-04,0.6749497836445665,1.6185454311355405,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,3.0,2021-03-05
AMD.OQ,c6cff801e5f19382c169d8dd,2021-03-04,0.6269207263428609,1.3440255601671347,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,9.0,2021-03-05
AVGO.OQ,9bea53f57ea6654b2ad0f4aa,2021-03-04,0.6247742266977883,1.311584852791574,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,12.0,2021-03-05
INTC.OQ,d469cc625d1099bc85e95242,2021-03-04,0.587439387892952,1.0906673142290528,gpu_accelerator,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,21.0,2021-03-05
MRVL.OQ,,,,,gpu_accelerator,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
QCOM.OQ,53ac9308c32f4e603c0bc4ff,2021-03-04,0.6131803677687412,1.4562260026716654,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,14.0,2021-03-05
TXN.OQ,da44e031a997c7956a7c7e46,2021-03-04,0.6054086435847389,1.2978878736451864,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,15.0,2021-03-05
ADI.OQ,0d82dda2b0dc59dac5871be0,2021-03-04,0.5892219121730179,1.2522095006031255,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,20.0,2021-03-05
NXPI.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
ON.OQ,,,,,ai_semiconductor,False,False,False,False,False,False,False,False,False,False,False,False,False,NO_ACTIVE_MEMBERSHIP_ROW,NOT_EVALUATED,,2021-03-05
MPWR.OQ,8681c786e38aff2f85ecda47,2021-03-04,0.6549976472139669,1.5932246312414915,ai_semiconductor,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,4.0,2021-03-05
MU.OQ,2718d3ea3c83bbe676b9867b,2021-03-04,0.6411999395327164,1.2363004286084545,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,8.0,2021-03-05
WDC.OQ,189bfb49c76f33050e5db26c,2021-03-04,0.6946319555691727,0.9833717455982712,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,2.0,2021-03-05
STX.OQ,b4473320430251abee50048d,2021-03-04,0.5769912549496439,0.5526262134829283,memory_hbm_storage,True,True,True,True,True,True,True,True,True,True,True,True,True,OK,OK,24.0,2021-03-05
