split,feature,rows,missing,missing_fraction
training,momentum_1,49948,1,2.0020821654520702e-05
training,momentum_5,49948,5,0.0001001041082726035
training,momentum_20,49948,40,0.000800832866180828
training,momentum_60,49948,160,0.003203331464723312
training,volatility_20_ann,49948,40,0.000800832866180828
training,volatility_60_ann,49948,160,0.003203331464723312
training,volume_median_20_log1p,49948,39,0.0007808120445263073
training,volume_median_60_log1p,49948,159,0.0031833106430687918
training,dollar_volume_median_20_log1p,49948,39,0.0007808120445263073
training,dollar_volume_median_60_log1p,49948,159,0.0031833106430687918
training,spread_median_20_bps,49948,58,0.0011612076559622006
training,spread_median_60_bps,49948,218,0.0043645391206855125
training,beta_126,49948,280,0.005605830063265796
training,idio_vol_126_ann,49948,280,0.005605830063265796
training,beta_obs_126,49948,280,0.005605830063265796
training,spy_momentum_1,49948,0,0.0
training,spy_momentum_5,49948,0,0.0
training,spy_momentum_20,49948,0,0.0
training,spy_momentum_60,49948,0,0.0
training,spy_volatility_20_ann,49948,0,0.0
training,spy_volatility_60_ann,49948,0,0.0
validation,momentum_1,21671,0,0.0
validation,momentum_5,21671,0,0.0
validation,momentum_20,21671,0,0.0
validation,momentum_60,21671,0,0.0
validation,volatility_20_ann,21671,0,0.0
validation,volatility_60_ann,21671,0,0.0
validation,volume_median_20_log1p,21671,0,0.0
validation,volume_median_60_log1p,21671,0,0.0
validation,dollar_volume_median_20_log1p,21671,0,0.0
validation,dollar_volume_median_60_log1p,21671,0,0.0
validation,spread_median_20_bps,21671,0,0.0
validation,spread_median_60_bps,21671,0,0.0
validation,beta_126,21671,0,0.0
validation,idio_vol_126_ann,21671,0,0.0
validation,beta_obs_126,21671,0,0.0
validation,spy_momentum_1,21671,0,0.0
validation,spy_momentum_5,21671,0,0.0
validation,spy_momentum_20,21671,0,0.0
validation,spy_momentum_60,21671,0,0.0
validation,spy_volatility_20_ann,21671,0,0.0
validation,spy_volatility_60_ann,21671,0,0.0
test,momentum_1,39210,3,7.651109410864575e-05
test,momentum_5,39210,3,7.651109410864575e-05
test,momentum_20,39210,17,0.00043356286661565925
test,momentum_60,39210,57,0.0014537107880642694
test,volatility_20_ann,39210,17,0.00043356286661565925
test,volatility_60_ann,39210,57,0.0014537107880642694
test,volume_median_20_log1p,39210,17,0.00043356286661565925
test,volume_median_60_log1p,39210,57,0.0014537107880642694
test,dollar_volume_median_20_log1p,39210,17,0.00043356286661565925
test,dollar_volume_median_60_log1p,39210,57,0.0014537107880642694
test,spread_median_20_bps,39210,17,0.00043356286661565925
test,spread_median_60_bps,39210,57,0.0014537107880642694
test,beta_126,39210,94,0.0023973476154042334
test,idio_vol_126_ann,39210,94,0.0023973476154042334
test,beta_obs_126,39210,94,0.0023973476154042334
test,spy_momentum_1,39210,0,0.0
test,spy_momentum_5,39210,0,0.0
test,spy_momentum_20,39210,0,0.0
test,spy_momentum_60,39210,0,0.0
test,spy_volatility_20_ann,39210,0,0.0
test,spy_volatility_60_ann,39210,0,0.0
all,momentum_1,110829,4,3.6091636665493685e-05
all,momentum_5,110829,8,7.218327333098737e-05
all,momentum_20,110829,57,0.0005143058224832851
all,momentum_60,110829,217,0.0019579712891030325
all,volatility_20_ann,110829,57,0.0005143058224832851
all,volatility_60_ann,110829,217,0.0019579712891030325
all,volume_median_20_log1p,110829,56,0.0005052829133169116
all,volume_median_60_log1p,110829,216,0.0019489483799366592
all,dollar_volume_median_20_log1p,110829,56,0.0005052829133169116
all,dollar_volume_median_60_log1p,110829,216,0.0019489483799366592
all,spread_median_20_bps,110829,75,0.0006767181874780066
all,spread_median_60_bps,110829,275,0.002481300020752691
all,beta_126,110829,374,0.00337456802822366
all,idio_vol_126_ann,110829,374,0.00337456802822366
all,beta_obs_126,110829,374,0.00337456802822366
all,spy_momentum_1,110829,0,0.0
all,spy_momentum_5,110829,0,0.0
all,spy_momentum_20,110829,0,0.0
all,spy_momentum_60,110829,0,0.0
all,spy_volatility_20_ann,110829,0,0.0
all,spy_volatility_60_ann,110829,0,0.0
