rows,events,event_weighted_mse,event_weighted_rmse,event_weighted_mae,event_weighted_direction_accuracy,weighted_r2,pooled_spearman,mean_event_spearman,event_spearman_groups,model,params,fold,train_rows,train_events
8884,1930,0.0016304331991062297,0.040378623046189055,0.02792866315647331,0.5010362694300519,-9.224037604615987e-05,-0.0013365343892130352,-0.007091412742382271,1805,simple_network,{},validate_2018,26572,5759
9156,1938,0.001373982755875763,0.037067273380648906,0.0259607444773045,0.5338235294117647,-0.00044509243032653245,0.01158096969774539,0.01380617217108825,1847,simple_network,{},validate_2019,35481,7695
9604,1961,0.0034828974304134223,0.059016077728136274,0.040471544984365754,0.4799422063573007,-0.00039373371906448185,0.020251854363543896,0.016085372201978136,1921,simple_network,{},validate_2020,44637,9633
8884,1930,0.0016255884222994667,0.04031858656128048,0.028024172471798732,0.5043177892918825,0.002879499707174271,0.04102264842742267,0.0289983397897067,1807,receiver_ridge,"{""alpha"": 0.01}",validate_2018,26572,5759
9156,1938,0.0013970532589108458,0.03737717564116965,0.026245096761025346,0.4764361885104919,-0.017243535818821876,-0.03126531054152874,0.0021633315305570576,1849,receiver_ridge,"{""alpha"": 0.01}",validate_2019,35481,7695
9604,1961,0.0034380175812800374,0.05863461077964138,0.040467536802960676,0.49971953085160636,0.012497119583487537,0.03228741754694593,0.02628571428571428,1925,receiver_ridge,"{""alpha"": 0.01}",validate_2020,44637,9633
8884,1930,0.0016255869032398768,0.04031856772307118,0.02802414567793981,0.5043177892918825,0.002880431483900492,0.041033245550173354,0.0289983397897067,1807,receiver_ridge,"{""alpha"": 0.1}",validate_2018,26572,5759
9156,1938,0.0013970524874745778,0.03737716532155131,0.026245091974431627,0.47622979016167866,-0.017242974108985898,-0.03126854762448294,0.0021633315305570576,1849,receiver_ridge,"{""alpha"": 0.1}",validate_2019,35481,7695
9604,1961,0.0034380202736721387,0.05863463373870548,0.0404675355652817,0.49971953085160636,0.012496346246850365,0.03228116551801742,0.02628571428571428,1925,receiver_ridge,"{""alpha"": 0.1}",validate_2020,44637,9633
8884,1930,0.0016255717591358583,0.04031837991705344,0.028023878176116325,0.5048359240069085,0.002889720733484369,0.041091188383359976,0.028942999446596566,1807,receiver_ridge,"{""alpha"": 1.0}",validate_2018,26572,5759
9156,1938,0.0013970447816751509,0.037377062239763455,0.026245044419927303,0.47622979016167866,-0.01723736324583136,-0.03130549285025954,0.0019469983775013515,1849,receiver_ridge,"{""alpha"": 1.0}",validate_2019,35481,7695
9604,1961,0.00343804717655479,0.05863486314945052,0.04046752316507019,0.49971953085160636,0.01248861892333275,0.03223900882954059,0.02628571428571428,1925,receiver_ridge,"{""alpha"": 1.0}",validate_2020,44637,9633
8884,1930,0.0016254248397227526,0.04031655788534969,0.02802125383804542,0.5039205526770293,0.0029798397062139603,0.0415300133741029,0.029939125622578857,1807,receiver_ridge,"{""alpha"": 10.0}",validate_2018,26572,5759
9156,1938,0.0013969685587749685,0.03737604257776589,0.026244568888894333,0.4750945992432061,-0.017181862675615056,-0.03164207190269497,0.0009194159004867502,1849,receiver_ridge,"{""alpha"": 10.0}",validate_2019,35481,7695
9604,1961,0.0034383141102482225,0.058637139342299284,0.04046739688664608,0.4999235084140744,0.012411947473896179,0.031878277857599724,0.025558441558441555,1925,receiver_ridge,"{""alpha"": 10.0}",validate_2020,44637,9633
8884,1930,0.0016243082536134496,0.040302707770241065,0.027999689976937955,0.5056735751295336,0.0036647430216258936,0.044909489304472854,0.02966242390702822,1807,receiver_ridge,"{""alpha"": 100.0}",validate_2018,26572,5759
9156,1938,0.001396273646722466,0.03736674519840424,0.026239897309281404,0.4754643962848297,-0.016675872808112224,-0.0341667329589554,-0.0005408328826392654,1849,receiver_ridge,"{""alpha"": 100.0}",validate_2019,35481,7695
9604,1961,0.003440783916660852,0.05865819564784491,0.040467628044601425,0.49859765425803154,0.01170254419456962,0.02864662060942121,0.02275324675324675,1925,receiver_ridge,"{""alpha"": 100.0}",validate_2020,44637,9633
8884,1930,0.001631964623637274,0.040397581903342604,0.028058757711425034,0.5078583765112263,-0.0010316016397020622,0.053711323458592024,0.013226342003320415,1807,network_ridge,"{""alpha"": 0.01}",validate_2018,26572,5759
9156,1938,0.001399604176089512,0.037411284074320574,0.026281210595806896,0.4816907464740282,-0.019100948192943168,-0.021166170785118968,-0.0040021633315305526,1849,network_ridge,"{""alpha"": 0.01}",validate_2019,35481,7695
9604,1961,0.00344116137326385,0.05866141298386743,0.040482222459917824,0.5053119156892742,0.011594127214760608,0.030292801963992456,0.022857142857142857,1925,network_ridge,"{""alpha"": 0.01}",validate_2020,44637,9633
8884,1930,0.0016319626891037559,0.040397557959655876,0.02805872192251736,0.5078583765112263,-0.001030415015214059,0.0537166951059141,0.013226342003320415,1807,network_ridge,"{""alpha"": 0.1}",validate_2018,26572,5759
9156,1938,0.001399603273989539,0.03741127201779618,0.026281200321102444,0.4816907464740282,-0.01910029134227509,-0.021167713213531104,-0.003948080043266627,1849,network_ridge,"{""alpha"": 0.1}",validate_2019,35481,7695
9604,1961,0.003441163087960417,0.05866142759906561,0.04048221531667991,0.5053119156892742,0.011593634701921762,0.030291163699596585,0.022857142857142857,1925,network_ridge,"{""alpha"": 0.1}",validate_2020,44637,9633
8884,1930,0.0016319433987011993,0.04039731920191239,0.028058364955301545,0.5080656303972366,-0.0010185824654835862,0.05376399568562028,0.013337022689540672,1807,network_ridge,"{""alpha"": 1.0}",validate_2018,26572,5759
9156,1938,0.0013995942771239764,0.03741115177489162,0.026281097786419155,0.4816649466804266,-0.019093740408530957,-0.02119001812603021,-0.0037858301784748473,1849,network_ridge,"{""alpha"": 1.0}",validate_2019,35481,7695
9604,1961,0.003441180231266597,0.05866157371965567,0.040482143984852774,0.5053119156892742,0.011588710624649723,0.030271698301729304,0.02275324675324675,1925,network_ridge,"{""alpha"": 1.0}",validate_2020,44637,9633
8884,1930,0.00163175579006645,0.04039499709204656,0.028054892082505282,0.5077547495682211,-0.0009035051106167646,0.05416005616437497,0.013779745434421693,1807,network_ridge,"{""alpha"": 10.0}",validate_2018,26572,5759
9156,1938,0.0013995065475156257,0.03740997925040357,0.026280104681662343,0.4815359477124183,-0.019029861400035486,-0.021435727472364115,-0.00405624661979448,1849,network_ridge,"{""alpha"": 10.0}",validate_2019,35481,7695
9604,1961,0.003441351252896407,0.0586630313987984,0.04048144184272972,0.5052099269080401,0.011539588027671077,0.03007679232562459,0.022909090909090903,1925,network_ridge,"{""alpha"": 10.0}",validate_2020,44637,9633
8884,1930,0.0016302748592669837,0.04037666230964347,0.028027716708792436,0.5087651122625216,4.883777619868468e-06,0.057227535434822945,0.018317653569452128,1807,network_ridge,"{""alpha"": 100.0}",validate_2018,26572,5759
9156,1938,0.0013987592258339425,0.03739998965018496,0.02627127622956437,0.481656346749226,-0.018485710241143982,-0.023386295488736292,-0.0023255813953488346,1849,network_ridge,"{""alpha"": 100.0}",validate_2019,35481,7695
9604,1961,0.0034429914107630454,0.05867700921794707,0.04047612010713618,0.503272140064593,0.011068484963375425,0.028260760400250284,0.022285714285714273,1925,network_ridge,"{""alpha"": 100.0}",validate_2020,44637,9633
8884,1930,0.0016326810210168755,0.0404064477653861,0.028049701884808955,0.5130569948186529,-0.0014710329888418805,0.06475618066628419,0.01764219963258843,1777,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.001398084776710083,0.03739097186099986,0.02623826719260861,0.4916752665978672,-0.017994620150548757,-0.04129737902609604,-0.02428720739582906,1845,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.0037064765509041944,0.06088083894711204,0.04193479458969273,0.4827808941016488,-0.06461243541733386,-0.01604767134173008,0.0022255680376355477,1923,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016215411286886231,0.04026836386903028,0.027922041438683376,0.5129360967184802,0.005362071171584493,0.07234218040123501,0.015027867580818742,1803,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0013930411990274148,0.03732346713566968,0.026221619309589134,0.4855521155830753,-0.014322214132832523,-0.04824283025747743,-0.022303015330864127,1846,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003631679904543662,0.0602634209495583,0.0414460651232251,0.48053714091449945,-0.04312857095756528,-0.01728527956020595,0.008685084043372242,1921,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016479641112620226,0.040595124230158756,0.02824410147556945,0.5053972366148533,-0.010845535404222506,0.047069364167868465,0.0021983060443980245,1807,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014147821844773553,0.03761359042257672,0.0264600158070968,0.4965256277949776,-0.030152589081118286,-0.05149445682045452,-0.035918421863202495,1847,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003801926391733909,0.06165976315016065,0.04247067140055574,0.48073261941186474,-0.09202852347571633,-0.022209063170093715,-0.00011548666028842215,1925,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016406324538777645,0.04050472137760936,0.028147716128368735,0.5028756476683938,-0.006348366392261884,0.036174839044097115,0.007478215071639966,1807,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014064986704947762,0.03750331546003335,0.02636009963790545,0.5005847953216375,-0.024121071671959093,-0.03813994445864404,-0.032462000507631976,1849,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.0037038475814256387,0.06085924400964605,0.042030832196829016,0.48117457079721226,-0.06385731568009434,-0.019914420049562218,0.0022668156402992534,1925,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016592295896632697,0.04073364198869615,0.028379682925041866,0.5076338514680484,-0.01775567286915347,0.04104071164111336,0.012358062591701684,1807,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.00143390191352217,0.0378668973316031,0.026687787141189398,0.5055297557619539,-0.044074335194511205,-0.036526844559299096,-0.04335969146831586,1849,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.0038878474099456614,0.06235260547840532,0.04286010300336134,0.49864014958354586,-0.11670764479098161,0.011994132442594362,-0.0019888707466460577,1925,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.001641910833754262,0.04052049893269161,0.028205846610280645,0.5158031088082902,-0.00713251246794222,0.05874833504399947,0.03149620750559415,1807,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.001430736182598766,0.037825073464552134,0.026691726119838364,0.50187478500172,-0.04176925534345011,-0.03825747931095208,-0.04164284934865594,1849,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.0036733077068523685,0.06060781885905785,0.04184148686787314,0.4933877273499915,-0.05508533781911007,0.009060037962402965,0.009397541010769863,1925,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.03, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016405751542955312,0.040504014051640995,0.028174461528358778,0.510293609671848,-0.0063132193726849195,0.053547339292221295,0.00881634265244329,1807,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014102661301005708,0.0375535102234208,0.026393096333711185,0.5005331957344341,-0.026864291306578192,-0.04027251214418487,-0.022133340255356345,1846,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003771117803194646,0.06140942764099537,0.042313999971208695,0.4894611592724801,-0.08317936281704319,-0.00032438543106746683,0.005327007140795758,1925,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016423662026985926,0.04052611753793586,0.02817799187374864,0.508644214162349,-0.007411831453830953,0.04090117263559359,0.010135469190068918,1807,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.001408575839163737,0.037530998376858256,0.026377128870580996,0.4956914344685243,-0.02563353112032174,-0.034841360187075676,-0.0184426400244603,1848,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003662445876285965,0.060518145016895265,0.04162617032723355,0.4818374978752337,-0.051965490780129464,-0.0005682367451597805,0.012451358302409364,1925,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 7, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.001658752274441987,0.04072778258685325,0.028413277141305798,0.5098100172711572,-0.01746289224540276,0.046576235299461276,0.015602549805190574,1807,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.001434241787020503,0.03787138480463189,0.026693542372167412,0.4950636394908841,-0.04432180902342231,-0.05473840513908508,-0.04342877082552546,1849,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003781069527961405,0.06149040191738386,0.042351404137746095,0.49921808601053885,-0.08603779987850468,0.022615907568149768,0.01901028796341972,1925,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016542554743001058,0.04067253956049592,0.028311160874614848,0.506433506044905,-0.014704597743743664,0.039112109569568926,0.006322147777695771,1807,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014206545312506092,0.03769157109023991,0.026526155910784263,0.5046181630546955,-0.03442845097620162,-0.036028267212094504,-0.04460533967565057,1849,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003687097686340325,0.06072147631884723,0.042020536524727356,0.49428012918578956,-0.059046238001642326,-0.004319609174266099,0.003054603662820223,1925,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 15, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016761527582047928,0.04094084462007096,0.028617703709332167,0.5065198618307426,-0.028136183735977705,0.027677741795662923,0.0067644607176959816,1807,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014513445902317717,0.03809651677295146,0.0269277920787265,0.4992518059855521,-0.056774960612365755,-0.04764343735877307,-0.05416304837936532,1849,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.0038354479429190467,0.06193099339522213,0.04260035077198278,0.5143634200237974,-0.10165692925572056,0.05414402366241887,0.010823746444858786,1925,network_hgb,"{""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2020,44637,9633
8884,1930,0.0016618704359411855,0.04076604513490591,0.028408350117605872,0.515328151986183,-0.01937554289634469,0.04579697355654315,0.006443555845035261,1807,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2018,26572,5759
9156,1938,0.0014357160442109646,0.03789084380442015,0.026784673097978898,0.5113949088407292,-0.045395267452845944,-0.011673127861406113,-0.0428497749993833,1849,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2019,35481,7695
9604,1961,0.003727399200750768,0.06105242993322025,0.04214421659674545,0.4971273159952405,-0.07062205476946781,0.018209942502879488,9.579895519423544e-05,1925,network_hgb,"{""l2_regularization"": 10.0, ""learning_rate"": 0.05, ""max_iter"": 200, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 50}",validate_2020,44637,9633
